년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20000919,샤모니,바리의 부활 (Intro),female,발라드,-,-,-,-,-
20000919,샤모니,바리향,female,"발라드, 댄스",-,-,-,-,사랑이 눈물되어 말없이 흘러내릴때 사나이는 울었다네 눈물도 울었다네  세월가면 잊어질까 세월아 말을 해다오 못잊어 못잊어서 가슴만 태우는  바보같은사나이 사랑이 눈물되어 서럽게 흘러내릴때 사나이는 울었다네 눈물도 울었다네 세월가면 잊어질까 세월아 말을 해다오 그리워 그리워서 가슴만 태우는 바보같은 사나이
20000919,샤모니,기원,female,발라드,-,-,-,-,서러워 우는 나 너무 가여워  그대 등 돌리는가요  기도 드려요 간절히 원해요  그대 행복하기만을  아무 것도 기억하지 못하길  아무 것도 남아있지 않길 이제 그대 이름조차 모두 지우길  마지막 바램 갖고 있네요  우리의 영혼이 만나 우나요 다른 세상엔 우리 함껜 가요  믿어도 되나요 부질없는 욕심  나 이제 버려야 하는 건가요  서러워 우는 나 너무 가여워  그대 등 돌리는가요  기도 드려요 간절히 원해요 그대 행복하기만을  이제야 비로소 나 깨달아요  잠시 그대 내 곁을 떠나  영원히 머물내게 돌아온다는 걸  서러워 우는 나 너무 가여워  그대 등 돌리는가요  기도 드려요 간절히 원해요  그대 행복하기만을  마지막 순간 눈물에 가리워  나 그대 담지 못할까  기도 드려요 간절히 원해요 그대 행복하기만을  서러워 우는 나 너무 가여워  그대 등 돌리는가요  기도 드려요 간절히 원해요  그대 행복하기만을  나를 잊지 않기만을
20000919,샤모니,성실,female,"발라드, 댄스",-,-,-,-,언제나 불안해 내게  다가올 미래가 두려웠어  숨 쉴 수 없을 만큼  그대가 그리워지는 만큼  고통이 내 몸 속에 녹아  눈물이 내 몸을 적셔와  이 넒은 세상 단 한 사람  그대가 내게 준 건 슬픔 아픔 외로운 사랑  내게 남은 고통만으로  하루가 벅차고 괴롭고 외롭고  그래서 힘들었어  더 이상 내게 오지는 마  슬픔도 지워버려  이제 아픔의 눈물 저 끝에는 나 혼자 올 것 같아  헤매였어 나를 버린  너의 그림자를 따라서  이 어둠의 상처 이젠  더는 남지 않게 도와줘 다시는 불안해 하는  길가에서 혼자 울고  또 버려진 나를 위로하며  계속 감추지 못한 눈물을 흘리며  끝도 없는 절망 속에 오 늘도 행복을 갈망하네  간절히 손을 내밀어 보아도 똑같은 하루에 하루를 지나  망설일 틈없이 숨 쉴 틈없이  어둠을 향해 달려간다 내게 허락될 수 없는 사랑이  상처로 얼룩져 우네  시간이 잠들고 나면 눈물이 흐를까  안타까운 사랑에 슬퍼하기는 할까  처음에 날 기억하지마 사랑도 지워버려 이제 날 닮던 너의 그 모습도  이제는 모두 버려  헤매였어 나를 버린  너의 그림자를 따라서  이 어둠의 상처 이젠  더는 남지 않게 도와줘 헤매였어 나를 버린  너의 그림자를 따라서  이 어둠의 상처 이젠  더는 남지 않게 도와줘 이제는 모든걸 지울 때도 됐잖아  어리석은 물음 아무 의미 없어  모든걸 지우고 처음으로 돌아가  나 조차 기억해 내지 마라  마지막 바람이야 마지막 부탁이야  이렇게 시간을 지나 보내면  잊게 될거야 모두 지울 수 있을 거야  기억을 잃어버린 것처럼 그렇게 해야돼
20000919,샤모니,이별...,female,발라드,-,-,-,-,-
20000919,샤모니,화무십일홍(花無十日紅),female,발라드,-,-,-,-,-
20000919,샤모니,You & Me,female,발라드,-,-,-,-,-
20000919,샤모니,FF (Fast Forward),female,"발라드, 댄스",-,-,-,-,-
20000919,샤모니,내 그리운 나라,female,발라드,-,-,-,-,-
20000919,샤모니,아리랑@Shamony.Com,female,발라드,-,-,-,-,-
